Record,Longitude,Latitude,Station,Depth,Date,GMT,SST,SSS,Chla,Phaeophytin ,NH4,PO4,NO3+NO2,NO2,NO3,Si
2114,-80.8466,24.7535,11,0,8/7/02,12:02,30.15,35.776,0.318,0.08,,0.021,0.103,,,0
2115,-80.8314,24.7132,12,0,8/7/02,12:31,30.128,36.07,0.238,0.071,,0.027,0.067,,,0
2116,-81.0289,24.7038,13,0,8/7/02,13:50,31.294,36.355,0.403,0.158,,0.029,0.129,,,0
2117,-81.0232,24.6751,14,0,8/7/02,14:16,31.19,36.171,0.509,0.172,,0.379,,,,0.183
2118,-81.0164,24.644,15,0,8/7/02,14:49,29.978,36.173,0.25,0.079,,0,0.031,,,0
2119,-80.9904,24.5916,15.5,0,8/7/02,15:40,29.62,35.306,0.324,0.017,,0,0.03,,,0
2120,-81.2069,24.6728,16,0,8/7/02,17:52,31.678,37.482,0.396,0.388,,0,0.143,,,0.103
2121,-81.1913,24.635,17,0,8/7/02,18:13,31.659,36.787,0.302,0.081,,0.032,0.11,,,0
2122,-81.1837,24.5983,18,0,8/7/02,18:52,30.891,36.306,0.384,0.057,,0.03,0.109,,,0
2123,-81.4219,24.609,19,0,8/7/02,20:38,31.808,37.808,2.498,2.578,,0.061,0.053,,,0
2124,-81.4182,24.575,20,0,8/7/02,21:01,30.934,36.415,0.511,0.085,,0,0.039,,,0
2125,-81.412,24.5378,21,0,8/7/02,22:18,30.296,36.276,0.297,0.069,,0.054,0.031,,,0
2126,-81.3924,24.4837,21.5,0,8/7/02,22:45,30.16,35.889,0.112,0.035,,0.043,0,,,0
2127,-81.8281,24.5375,24,0,8/8/02,11:57,31.158,36.671,0.398,0.268,,0.056,0.37,,,0.533
2128,-81.8283,24.4859,23,0,8/8/02,12:28,29.752,36.176,0.259,0.095,,0.01,0.062,,,0
2129,-81.8278,24.4547,22,0,8/8/02,12:49,29.745,35.989,0.182,0.048,,0.035,0.041,,,0
2130,-81.8284,24.3966,22.5,0,8/8/02,13:23,29.857,36.025,0.152,0.044,,0.05,0.041,,,0
2195,-80.1263,25.6457,1,0,10/2/02,12:29,28.866,34.978,0.927,0.444,,0.041,0.065,,,0.1
2196,-80.1053,25.6415,2,0,10/2/02,12:47,28.673,35.486,0.662,0.266,,0.032,0.057,,,0.1
2197,-80.0832,25.6452,3,0,10/2/02,13:07,28.489,36.129,0.425,0.085,,0.126,0.107,,,0.1
2202,-80.2867,25.0487,6.5,0,10/2/02,18:36,28.439,36.264,0.071,0.032,,0.001,,,,0.1
2203,-80.3145,25.0633,6,0,10/2/02,19:01,28.988,36.218,0.411,0.077,,0.106,,,,0.1
2204,-80.3332,25.0788,5.5,0,10/2/02,19:17,29.032,36.229,,,,0.074,0.537,,,0.1
2205,-80.3542,25.093,5,0,10/2/02,19:38,29.497,36.245,0.357,0.047,,,0.01,,,
2206,-80.3798,25.108,4,0,10/2/02,19:58,29.599,36.201,0.345,0.071,,0.104,0.01,,,0.1
2211,-80.6908,24.7145,9.5,0,10/3/02,0:38,28.362,36.259,0.064,0.021,,0.04,0.01,,,0.1
2212,-80.7233,24.7633,9,0,10/3/02,1:19,28.601,36.183,0.13,0.036,,0.042,0.01,,,0.1
2213,-80.7423,24.7918,8,0,10/3/02,1:41,28.835,36.199,0.233,0.048,,0.08,0.01,,,0.1
2214,-80.7545,24.816,7,0,10/3/02,1:59,28.919,36.282,0.313,0.097,,0.068,0.008,,,0.1
2215,-80.8617,24.7852,10,0,10/3/02,11:43,28.531,36.183,0.347,0.14,,0.079,0.01,,,0.1
2216,-80.846,24.7528,11,0,10/3/02,12:05,28.526,36.195,0.33,0.081,,0.049,0.01,,,0.1
2217,-80.8313,24.7135,12,0,10/3/02,12:30,28.489,36.132,0.201,0.064,,0.054,0.01,,,0.1
2218,-80.9913,24.5915,15.5,0,10/3/02,13:57,28.346,36.227,0.094,0.063,,0.05,0.01,,,0.1
2219,-81.0165,24.6425,15,0,10/3/02,14:32,28.546,36.166,0.195,0.042,,0.057,0.01,,,0.1
2220,-81.0267,24.6748,14,0,10/3/02,15:13,28.67,36.106,0.554,0.093,,0.045,0.01,,,0.1
2221,-81.0297,24.701,13,0,10/3/02,15:43,28.866,36.192,0.417,0.087,,0.062,0.044,,,0.1
2222,-81.2043,24.674,16,0,10/3/02,17:06,29.109,36.432,0.461,0.278,,0.072,0.137,,,0.382
2223,-81.1932,24.6338,17,0,10/3/02,17:31,29.013,36.245,0.517,0.112,,,0.01,,,0.1
2224,-81.1833,24.597,18,0,10/3/02,18:02,28.902,36.152,0.183,0.054,,0.042,0.032,,,0.1
2225,-81.3917,24.4843,21.5,0,10/3/02,19:47,28.982,36.226,0.188,0.014,,0.023,0.01,,,0.1
2226,-81.4138,24.5383,21,0,10/3/02,20:21,29.149,36.216,0.26,0.056,,0.064,0.018,,,0.1
2227,-81.418,24.5747,20,0,10/3/02,20:53,29.492,36.242,0.409,0.076,,0.083,0.069,,,0.02
2228,-81.4218,24.6105,19,0,10/3/02,21:27,29.746,36.736,0.459,0.121,,0.086,0.112,,,0.477
2229,-81.8285,24.5365,24,0,10/4/02,11:32,28.999,36.379,0.771,0.232,,0.072,0.172,,,0.237
2230,-81.8278,24.4858,23,0,10/4/02,12:02,28.689,36.249,0.685,0.169,,0.088,0.014,,,0.141
2231,-81.8278,24.4547,22,0,10/4/02,12:23,28.582,36.216,0.339,0.119,,0.069,0.057,,,0.1
2232,-81.8285,24.3963,22.5,0,10/4/02,12:51,28.502,36.199,0.125,0.035,,0.036,0.01,,,0.1
2304,-80.1247,25.6455,1,0,12/2/02,13:17,24.3,36.181,0.335,0.178,,0.052,0.043,,,0.1
2305,-80.1039,25.6431,2,0,12/2/02,13:49,24.725,36.545,0.243,0.141,,0.024,0.169,,,0.1
2306,-80.0841,25.646,3,0,12/2/02,14:04,25.448,36.309,0.218,0.113,,0.149,2.813,,,0.1
2307,-80.2889,25.0488,6.5,0,12/2/02,18:20,25.611,36.288,1.806,0.821,,0.043,0.054,,,0.1
2308,-80.3145,25.0663,6,0,12/2/02,18:48,25.464,36.339,,,,0.022,0.111,,,0.1
2309,-80.3308,25.0782,5.5,0,12/2/02,19:23,25.053,36.399,0.202,0.085,,0.024,0.01,,,0.1
2310,-80.355,25.0928,5,0,12/2/02,19:45,23.157,36.577,0.228,0.115,,0.037,0.01,,,0.1
2311,-80.3778,25.1072,4,0,12/2/02,20:02,22.251,36.477,0.253,0.108,,0.05,0.116,,,0.1
2312,-80.7554,24.8167,7,0,12/2/02,23:08,22.819,36.389,1.178,0.341,,0.062,0.168,,,0.1
2313,-80.7431,24.7918,8,0,12/2/02,23:25,24.984,36.389,0.515,0.376,,0.019,0.11,,,0.1
2314,-80.7248,24.7615,9,0,12/2/02,23:44,25.353,36.312,0.159,0.045,,0.015,0.01,,,0.1
2315,-80.6938,24.7131,9.5,0,12/3/02,0:13,25.792,36.306,0.093,0.055,,0.004,0.01,,,0.1
2316,-80.8332,24.7132,12,0,12/3/02,1:22,25.243,36.341,0.117,0.061,,0.045,0.01,,,0.1
2317,-80.8472,24.7526,11,0,12/3/02,1:46,24.634,36.421,0.25,0.098,,0.056,0.01,,,0.1
2318,-80.861,24.786,10,0,12/3/02,2:07,23.351,36.598,,,,,,,,
2319,-81.0289,24.6999,13,0,12/3/02,14:52,22.886,36.839,,,,0.038,0.01,,,0.1
2320,-81.0231,24.675,14,0,12/3/02,15:12,23.57,36.595,0.406,0.179,,0.034,0.01,,,0.1
2321,-81.0172,24.643,15,0,12/3/02,15:33,25.093,36.363,0.26,0.124,,0.043,0.01,,,0.1
2322,-80.9929,24.5906,15.5,0,12/3/02,16:06,25.271,36.329,,,,0.035,0.023,,,0.1
2323,-81.184,24.5978,18,0,12/3/02,17:41,25.167,36.354,0.211,0.1,,0.075,0.014,,,0.1
2324,-81.1932,24.6351,17,0,12/3/02,18:06,25.114,36.374,0.268,0.141,,0.049,0.01,,,0.1
2325,-81.2022,24.6741,16,0,12/3/02,18:44,23.08,37.272,0.247,0.231,,0.055,0.788,,,0.1
2326,-81.4213,24.6102,19,0,12/3/02,20:22,23.599,37.395,0.27,0.138,,0.027,0.088,,,0.1
2327,-81.4182,24.5749,20,0,12/3/02,20:44,24.19,36.731,,,,0.026,0.01,,,0.1
2328,-81.4119,24.5393,21,0,12/3/02,21:10,24.991,36.349,0.256,0.108,,0.057,0.01,,,0.1
2329,-81.3931,24.4836,21.5,0,12/3/02,21:45,24.922,36.332,0.156,0.083,,0.044,0.01,,,0.1
2330,-81.8287,24.536,24,0,12/4/02,23:18,23.884,36.666,0.367,0.191,,0.049,0.01,,,0.1
2331,-81.8278,24.4858,23,0,12/4/02,23:46,24.271,36.603,0.461,0.213,,0.059,0.01,,,0.1
2332,-81.8285,24.4547,22,0,12/5/02,0:09,24.769,36.36,0.213,0.093,,0.058,0.01,,,0.1
2333,-81.8282,24.398,22.5,0,12/5/02,0:46,24.9,36.298,,,,0.053,0.01,,,0.1
2404,-80.1268,25.6462,1,0,2/10/03,13:12,23.231,35.826,0.108,0.089,,0,0.4,,,0
2405,-80.1052,25.642,2,0,2/10/03,13:30,22.703,36.163,0.176,0.086,,0.02,0.19,,,0
2406,-80.0832,25.6452,3,0,2/10/03,13:51,23.021,36.272,0.185,0.069,,0.01,0.38,,,0
2407,-80.3802,25.1085,4,0,2/10/03,17:55,24.61,36.37,0.077,0.033,,0,0.51,,,0
2408,-80.3543,25.0938,5,0,2/10/03,18:13,23.635,36.308,0.084,0.035,,0,0.38,,,0
2409,-80.3322,25.079,5.5,0,2/10/03,18:31,23.533,36.211,0.087,0.037,,0.01,0.44,,,0.38
2410,-80.3142,25.065,6,0,2/10/03,18:50,22.966,36.183,0.104,0.038,,0.01,0.23,,,0.04
2411,-80.2858,25.0468,6.5,0,2/10/03,19:17,22.849,36.21,0.108,0.04,,0,0.31,,,0
2412,-80.7563,24.82,7,0,2/10/03,22:38,24.022,35.523,0.111,0.095,,0,0.38,,,0.45
2413,-80.7407,24.7925,8,0,2/10/03,22:56,23.475,35.32,0.126,0.044,,0,0.26,,,0
2414,-80.7218,24.7628,9,0,2/10/03,23:17,23.369,35.564,0.27,0.202,,0.02,0.97,,,0.59
2415,-80.6893,24.7165,9.5,0,2/10/03,23:49,23.462,36.326,0.065,0.048,,0,0.45,,,0
2416,-80.8313,24.7135,12,0,2/11/03,0:56,22.673,35.513,0.144,0.164,,0,0.36,,,2
2417,-80.8463,24.7532,11,0,2/11/03,1:23,22.621,34.748,0.149,0.077,,0,0.19,,,1.1
2418,-80.86,24.7863,10,0,2/11/03,1:49,24.983,33.622,0.146,0.053,,0,0.17,,,1.2
2419,-81.0292,24.7007,13,0,2/11/03,12:36,22.137,34.888,0.233,0.101,,0,0.41,,,3
2420,-81.0233,24.6747,14,0,2/11/03,13:07,22.254,35.1,0.174,0.077,,0,0.26,,,1.4
2421,-81.0165,24.6428,15,0,2/11/03,13:41,22.226,35.601,0.143,0.09,,0,0.12,,,0.4
2422,-80.9908,24.591,15.5,0,2/11/03,14:27,22.623,36.378,0.039,0.027,,0,0.48,,,0
2423,-81.1837,24.5988,18,0,2/11/03,15:53,22.587,36.044,0.145,0.058,,0,2.4,,,0
2424,-81.1928,24.6348,17,0,2/11/03,16:29,22.967,35.418,0.325,0.118,,0,0.31,,,0.72
2425,-81.2033,24.6682,16,0,2/11/03,17:08,23.023,35.292,0.676,0.348,,0,0.39,,,2.4
2426,-81.4202,24.6105,19,0,2/11/03,18:37,22.543,35.659,0.162,0.081,,0,0.47,,,0.79
2427,-81.418,24.575,20,0,2/11/03,18:57,23.096,35.715,0.204,0.074,,0,0,,,0.45
2428,-81.414,24.538,21,0,2/11/03,19:31,22.287,36.093,0.094,0.051,,0,0.63,,,0
2429,-81.3923,24.4833,21.5,0,2/11/03,20:16,22.839,36.385,0.053,0.041,,0,1.5,,,0
2430,-81.829,24.3967,22.5,0,2/11/03,22:50,22.315,36.395,0.048,0.022,,0,2.9,,,0
2431,-81.8275,24.4545,22,0,2/11/03,23:35,22.427,36.376,0.11,0.047,,0,0.18,,,0
2432,-81.8302,24.4868,23,0,2/12/03,0:02,22.266,36.154,0.138,0.078,,0,1.8,,,0
2433,-81.8283,24.536,24,0,2/12/03,0:31,21.683,35.781,0.365,0.159,,0.01,0.61,,,0
2500,-80.1267,25.6449,1,0,4/17/03,13:56,24.794,36.225,1.189,0.612,,0.04,0.55,,,0
2501,-80.1052,25.642,2,0,4/17/03,14:12,24.931,36.303,0.665,0.251,,0.02,0.31,,,0
2502,-80.083,25.6452,3,0,4/17/03,14:29,25.11,36.339,0.142,0.082,,0.02,0.22,,,0
2503,-80.38,25.1082,4,0,4/17/03,18:18,25.864,36.709,0.121,0.057,,0.02,0.38,,,0
2504,-80.3551,25.0934,5,0,4/17/03,18:34,25.487,36.685,0.166,0.065,,0.04,0.25,,,0
2505,-80.3327,25.0801,5.5,0,4/17/03,18:59,25.506,36.532,0.173,0.074,,0,2.5,,,0
2506,-80.316,25.0636,6,0,4/17/03,19:15,25.239,36.361,0.953,0.532,,0.01,1,,,0
2507,-80.316,25.0636,6,0,4/17/03,19:15,22.708,36.378,0.451,0.238,,0.01,1,,,0
2508,-80.2885,25.0472,6.5,0,4/17/03,19:34,25.508,36.294,0.105,0.04,,0.07,2.1,,,0
2509,-80.6908,24.7159,9.5,0,4/17/03,22:35,25.746,36.35,0.037,0.012,,0,0.32,,,0
2510,-80.7233,24.7636,9,0,4/17/03,23:14,24.977,36.261,0.278,0.117,,0,0.25,,,0
2511,-80.742,24.7924,8,0,4/17/03,23:38,26.096,35.983,0.229,0.108,,0.03,0.36,,,1.6
2512,-80.7567,24.8162,7,0,4/17/03,23:58,26.588,35.59,0.22,0.144,,0,0.46,,,0
2513,-80.8603,24.786,10,0,4/18/03,0:46,26.533,35.038,0.115,0.118,,0,0.54,,,0
2514,-80.8473,24.7529,11,0,4/18/03,1:08,25.215,35.823,0.224,0.104,,0,0.43,,,7.1
2515,-80.8323,24.7133,12,0,4/18/03,1:31,24.588,36.232,0.668,0.337,,0.01,0.39,,,1.5
2516,-81.0301,24.7004,13,0,4/18/03,11:11,25.066,35.667,0.173,0.162,,0,0.41,,,0
2517,-81.0233,24.6748,14,0,4/18/03,11:30,24.712,35.592,0.194,0.108,,0.02,0.32,,,1.4
2518,-81.017,24.6433,15,0,4/18/03,12:03,24.468,35.988,0.378,0.288,,0,0.43,,,1.4
2519,-80.991,24.5921,15.5,0,4/18/03,12:46,24.549,36.158,0.334,0.157,,0,0.47,,,0.31
2520,-81.1841,24.598,18,0,4/18/03,14:08,24.836,35.958,0.399,0.18,,0,0.48,,,2.4
2521,-81.1925,24.6351,17,0,4/18/03,14:49,25.198,35.655,0.215,0.105,,0,0.45,,,3.1
2522,-81.2053,24.6778,16,0,4/18/03,15:31,25.636,35.733,0.221,0.201,,0,0.51,,,0.31
2523,-81.4211,24.609,19,0,4/18/03,16:55,26.188,36.519,0.178,0.083,,0,0.62,,,0.9
2524,-81.4177,24.5752,20,0,4/18/03,17:12,25.206,36.277,0.219,0.095,,0,0.54,,,0.52
2525,-81.413,24.5385,21,0,4/18/03,17:45,25.079,36.344,0.242,0.106,,0,0.69,,,0.95
2526,-81.3885,24.4853,21.5,0,4/18/03,18:36,26.314,36.327,0.044,0.013,,0.05,1.3,,,0.19
2527,-81.8326,24.3989,22.5,0,4/18/03,21:48,25.948,36.348,0.055,0.021,,0,1.2,,,0
2528,-81.828,24.4547,22,0,4/18/03,22:25,25.029,36.375,0.123,0.046,,0,0.29,,,0
2529,-81.8284,24.4869,23,0,4/18/03,22:46,24.757,36.392,0.17,0.073,,0,0.36,,,0.17
2530,-81.8286,24.5366,24,0,4/18/03,23:12,25.433,36.376,0.406,0.231,,0,0.32,,,0
2664,-81.8286,24.3963,22.5,0,6/11/03,19:15,29.371,36.316,0.041,0.019,,0.02,0.02,,,0
2665,-81.8289,24.4552,22,0,6/11/03,19:54,30.179,36.446,0.382,0.136,,0,0,,,0
2666,-81.8297,24.4878,23,0,6/11/03,20:23,30.931,36.552,0.646,0.434,,0.02,0,,,0
2667,-81.8278,24.5371,24,0,6/11/03,20:52,31.287,36.586,1.01,0.32,,0.01,0.13,,,0.41
2668,-81.421,24.6096,19,0,6/12/03,13:23,30.755,36.269,0.981,0.347,,0.01,0.03,,,0
2669,-81.4212,24.577,20,0,6/12/03,13:48,30.475,36.369,0.874,0.177,,0.01,0.27,,,0.5
2670,-81.4137,24.5383,21,0,6/12/03,14:24,29.184,36.256,,,,0.02,0.26,,,0
2671,-81.3969,24.4858,21.5,0,6/12/03,15:13,28.949,36.31,,,,0.09,2,,,0.16
2672,-81.2095,24.6719,16,0,6/12/03,17:04,30.45,36.554,0.718,0.497,,0.01,0.32,,,0
2673,-81.194,24.6349,17,0,6/12/03,17:29,30.07,36.426,0.383,0.103,,0.01,0.02,,,1.7
2674,-81.184,24.5982,18,0,6/12/03,18:07,29.306,36.239,0.155,0.039,,0,0.03,,,0
2675,-81.031,24.7005,13,0,6/12/03,19:33,30.981,36.559,0.411,0.099,,0,0.13,,,3.3
2676,-81.0235,24.6762,14,0,6/12/03,19:54,30.674,36.518,0.456,0.122,,0.01,0.2,,,2
2677,-81.0175,24.6437,15,0,6/12/03,20:20,29.359,36.267,0.23,0.037,,0.01,0.43,,,0
2678,-80.9908,24.5925,15.5,0,6/12/03,21:10,29.034,36.165,0.091,0.022,,0,0,,,0
2679,-80.8621,24.785,10,0,6/12/03,22:22,31.057,35.855,0.391,0.14,,0,0.54,,,5
2680,-80.833,24.7138,12,0,6/12/03,22:35,29.235,36.269,0.168,0.025,,0,0.36,,,0
2681,-80.847,24.754,11,0,6/12/03,23:01,30.86,36.134,0.432,0.09,,0.01,0.31,,,2.2
2682,-80.7575,24.8187,7,0,6/13/03,0:17,30.556,36.102,0.501,0.171,,0.03,0.77,,,1
2683,-80.7419,24.7932,8,0,6/13/03,0:40,29.902,36.358,0.325,0.105,,0.01,0.37,,,0.43
2684,-80.7249,24.7635,9,0,6/13/03,1:05,29.229,36.278,0.112,0.029,,0,0.3,,,0
2685,-80.6918,24.7176,9.5,0,6/13/03,1:43,29.087,36.277,0.088,0.031,,0.01,0.33,,,0
2686,-80.3786,25.1075,4,0,6/13/03,12:15,29.514,36.247,0.249,0.079,,0.01,0.04,,,0.52
2687,-80.3557,25.093,5,0,6/13/03,12:37,29.653,36.312,0.304,0.093,,0.02,0,,,0.48
2688,-80.3343,25.0802,5.5,0,6/13/03,13:03,28.802,36.228,0.346,0.094,,0.01,0.05,,,0.18
2689,-80.316,25.0652,6,0,6/13/03,13:23,28.966,36.311,0.115,0.036,,0.01,0.01,,,0.07
2690,-80.2882,25.0491,6.5,0,6/13/03,13:49,28.964,36.286,0.1,0.038,,0.01,0,,,0
2691,-80.085,25.6452,3,0,6/13/03,16:58,28.632,36.306,0.258,0.053,,0.03,0.06,,,0.23
2692,-80.1057,25.642,2,0,6/13/03,17:13,29.729,36.477,0.267,0.046,,0.02,0,,,0.66
2693,-80.1266,25.6448,1,0,6/13/03,17:27,30.031,36.705,0.261,0.096,,0.03,0.12,,,1.7
2694,-80.126,25.6445,1,0,8/4/03,12:41,29.997,36.006,0.227,0.186,,0,0.21,,,0
2695,-80.1055,25.6422,2,0,8/4/03,13:05,30.32,36.25,0.226,0.112,,0,0,,,0
2696,-80.0827,25.6445,3,0,8/4/03,13:23,29.667,36.041,0.216,0.136,,0,0.08,,,0
2697,-80.3797,25.1077,4,0,8/4/03,17:21,30.649,36.044,0.178,0.063,,0,0.02,,,0
2698,-80.3552,25.0938,5,0,8/4/03,17:43,30.874,35.971,0.208,0.059,,0,0.01,,,0
2699,-80.3321,25.0795,5.5,0,8/4/03,18:03,30.621,36.009,0.173,0.047,,0.01,0.02,,,0
2700,-80.3161,25.0651,6,0,8/4/03,18:21,30.541,36.011,0.18,0.064,,0.01,0.02,,,0
2701,-80.2868,25.0488,6.5,0,8/4/03,18:44,30.708,36.056,0.089,0.027,,0.01,0.01,,,0
2702,-80.7563,24.8198,7,0,8/4/03,21:59,31.533,36.177,0.212,0.083,,0,0.05,,,0
2703,-80.7415,24.7923,8,0,8/4/03,22:24,30.712,35.862,0.197,0.068,,0,0,,,0
2704,-80.723,24.7617,9,0,8/4/03,22:48,30.499,35.875,0.393,0.143,,0,0,,,0
2705,-80.6903,24.7158,9.5,0,8/4/03,23:19,30.455,35.286,0.13,0.037,,0,0.01,,,0
2706,-80.8327,24.7132,12,0,8/5/03,0:35,30.605,35.992,0.321,0.118,,0,0.04,,,0
2707,-80.847,24.7538,11,0,8/5/03,1:07,31.19,36.09,0.181,0.261,,0,0,,,0
2708,-80.8627,24.783,10,0,8/5/03,1:28,31.636,36.601,0.159,0.147,,0,0.56,,,2.1
2709,-81.0273,24.6993,13,0,8/5/03,11:36,31.195,36.7,0.287,0.159,,0,0.08,,,0.7
2710,-81.0231,24.6758,14,0,8/5/03,11:59,30.403,36.229,0.267,0.101,,0,0.01,,,0.7
2711,-81.016,24.6447,15,0,8/5/03,12:37,29.938,35.947,0.173,0.114,,0,0.29,,,0
2712,-80.9926,24.5924,15.5,0,8/5/03,13:20,29.931,35.246,0.081,0.022,,0.02,0.01,,,0
2713,-81.1833,24.5975,18,0,8/5/03,14:47,29.97,36.001,0.131,0.053,,0,0.18,,,0
2714,-81.1937,24.6333,17,0,8/5/03,15:18,31.058,36.668,0.3,0.107,,0,0.03,,,0.7
2715,-81.2035,24.6726,16,0,8/5/03,15:55,31.087,37.136,0.329,0.277,,0,0.32,,,0.7
2716,-81.421,24.6085,19,0,8/5/03,17:21,31.664,36.517,0.291,0.129,,0,0.29,,,0
2717,-81.4182,24.5738,20,0,8/5/03,17:50,31.021,36.236,0.213,0.084,,0,0.03,,,0
2718,-81.4142,24.5382,21,0,8/5/03,18:25,30.668,35.416,0.202,0.09,,0,0,,,0.7
2719,-81.392,24.484,21.5,0,8/5/03,19:09,30.324,35.038,0.146,0.061,,0,0.01,,,0
2720,-81.8305,24.3962,22.5,0,8/5/03,21:56,30.843,35.404,0.081,0.025,,0,0.01,,,0
2721,-81.8277,24.4547,22,0,8/5/03,22:38,30.261,35.914,0.249,0.058,,0,0.01,,,0.7
2722,-81.828,24.4866,23,0,8/5/03,23:00,30.677,35.732,0.247,0.093,,0,0.01,,,0
2723,-81.8284,24.5362,24,0,8/5/03,23:28,31.027,35.946,0.45,0.206,,0,0.28,,,0
2854,-81.8282,24.398,22.5,0,12/14/03,21:12,23.916,36.105,0.379,0.243,,0,0,,,0
2855,-81.8285,24.4547,22,0,12/14/03,21:49,24.245,36.203,0.394,0.203,,0,0,,,0
2856,-81.8288,24.4868,23,0,12/14/03,22:10,23.259,36.116,0.649,0.229,,0,0,,,0
2857,-81.8287,24.536,24,0,12/14/03,22:38,22.055,35.877,0.956,0.48,,0,0,,,21.05
2858,-81.4213,24.6102,19,0,12/15/03,14:20,21.081,35.087,0.202,0.231,,0,0.13,,,0.03
2859,-81.4182,24.5749,20,0,12/15/03,14:42,21.912,36.124,2.271,0.491,,0,0.09,,,0
2860,-81.4119,24.5393,21,0,12/15/03,15:10,24.041,36.176,0.849,0.303,,0,0,,,0
2861,-81.3931,24.4836,21.5,0,12/15/03,15:52,24.193,36.217,0.258,0.147,,0,0,,,0
2862,-81.2022,24.6741,16,0,12/15/03,17:50,21.153,33.584,2.797,0.726,,0.06,0,,,0
2863,-81.1932,24.6351,17,0,12/15/03,18:14,22.484,34.349,2.058,0.313,,0.01,0,,,0.84
2864,-81.184,24.5978,18,0,12/15/03,18:45,24.244,36.209,0.67,0.269,,0,0.69,,,0.08
2865,-80.9929,24.5906,15.5,0,12/15/03,20:12,24.252,36.231,0.27,0.154,,0,0,,,0
2866,-81.0172,24.643,15,0,12/15/03,20:55,24.172,36.22,0.312,0.183,,0,0,,,0.69
2867,-81.0231,24.675,14,0,12/15/03,21:24,22.431,35.822,0.467,0.157,,0,0,,,1.57
2868,-81.0289,24.6999,13,0,12/15/03,21:56,21.443,35.228,0.402,0.221,,0,0,,,0
2869,-80.861,24.786,10,0,12/15/03,23:19,21.961,35.41,0.416,0.135,,0,0,,,0
2870,-80.8472,24.7526,11,0,12/15/03,23:39,23.208,36.172,0.306,0.14,,0,0,,,1.22
2871,-80.8332,24.7132,12,0,12/16/03,0:01,24.234,36.225,0.084,0.084,,0,0,,,0
2872,-80.6938,24.7131,9.5,0,12/16/03,1:02,24.201,36.216,0.251,0.151,,0,0,,,0
2873,-80.7248,24.7615,9,0,12/16/03,1:47,24.242,36.233,0.301,0.174,,0,0,,,0
2874,-80.7431,24.7918,8,0,12/16/03,2:15,22.624,36.229,0.257,0.121,,0,0,,,0
2875,-80.7554,24.8167,7,0,12/16/03,2:34,22.185,36.195,0.284,0.253,,0,0,,,0
2876,-80.3145,25.0663,6,0,12/16/03,12:47,23.992,36.248,0.253,0.153,,0,0,,,0
2877,-80.2889,25.0488,6.5,0,12/16/03,13:27,24.326,36.252,0.009,0.023,,,,,,
2878,-80.3308,25.0782,5.5,0,12/16/03,14:01,23.338,36.289,0.405,0.264,,0,0,,,0
2879,-80.355,25.0928,5,0,12/16/03,14:18,22.939,36.322,0.339,0.173,,0,0,,,0
2880,-80.3778,25.1072,4,0,12/16/03,14:34,21.07,35.634,0.282,0.13,,0,0,,,0
2881,-80.0841,25.646,3,0,12/16/03,18:35,24.153,36.252,0.32,0.17,,0.01,0,,,0
2882,-80.1039,25.6431,2,0,12/16/03,18:49,24.16,36.283,0.372,0.208,,0.02,0,,,0
2883,-80.1247,25.6455,1,0,12/16/03,18:59,22.971,36.218,0.566,0.349,,0.03,0,,,0
2950,-81.831,24.3969,22.5,0,2/23/04,21:28,23.314,36.373,0.115,0.027,0.28,0,0.02,,,0
2951,-81.828,24.4567,22,0,2/23/04,22:12,23.355,36.394,0.275,0.062,0.28,0.01,0.03,,,0
2952,-81.8296,24.4869,23,0,2/23/04,22:32,23.074,36.264,0.319,0.043,0,0,0.02,,,0
2953,-81.8303,24.5358,24,0,2/23/04,23:00,22.864,35.802,0.527,0.231,0,0.01,0.38,,,0
2954,-81.4196,24.6097,19,0,2/24/04,13:37,23.47,35.51,0.3,0.164,0.28,0.02,0.25,,,0.85
2955,-81.4191,24.5754,20,0,2/24/04,14:01,22.06,35.373,0.293,0.106,,0.01,0.08,,,2.19
2956,-81.4136,24.5394,21,0,2/24/04,14:49,23.166,36.241,0.261,0.072,0,0.02,0.03,,,0
2957,-81.3913,24.4852,21.5,0,2/24/04,15:39,23.573,36.352,0.134,0.026,0.28,0,0.03,,,0
2958,-81.2056,24.6726,16,0,2/24/04,17:27,23.153,35.05,0.596,0.27,,0,0.05,,,1.15
2959,-81.1937,24.6356,17,0,2/24/04,17:56,22.602,35.651,0.432,0.102,,0.03,0.04,,,1.41
2960,-81.1852,24.5995,18,0,2/24/04,18:36,23.723,36.257,0.198,0.053,0.56,0.02,0.04,,,
2961,-80.9916,24.5929,15.5,0,2/24/04,20:07,23.694,36.354,0.108,0.025,0.56,0,0,,,0
2962,-81.0167,24.6437,15,0,2/24/04,20:42,23.755,36.244,0.181,0.043,0,0,0,,,0
2963,-81.024,24.6748,14,0,2/24/04,21:12,23.928,36.205,0.295,0.063,0,0,0.01,,,0
2964,-81.0284,24.7001,13,0,2/24/04,21:37,23.278,34.717,0.428,0.113,0.56,0,0.01,,,4.26
2965,-80.8629,24.7846,10,0,2/24/04,22:56,23.911,34.496,0.403,0.214,0,0,0,,,4.65
2966,-80.8473,24.7535,11,0,2/24/04,23:15,22.986,35.222,0.523,0.176,0,0.01,0.01,,,0.56
2967,-80.8318,24.714,12,0,2/24/04,23:41,24.133,36.246,0.27,0.066,0,0,0.01,,,0
